ID,Subject,Services,ProgramServiceSubject,Section,SectionItem,Contents,StatePlanSection,PlanPage,pdfPageNumber,EffectiveDate,TransmittalNumber,Superseded1,Superseded2,Superseded3,Superseded4,Superseded5,Superseded6,Superseded7,Superseded8,Superseded9,Superseded10,Superseded11,Superseded12,Superseded13,Superseded14,Superseded15,Superseded16,Superseded17,Superseded18,Superseded19,Superseded20,Superseded21,Superseded22,Superseded23,Superseded24,Superseded25
422,EPSDT,Therapies,Speech Therapy,EPSDT Services-Specialized Rehabilitative Services,04.b,Speech Therapy,Appendix 1 to Attachment 3.1-A,Page 07p,435,10/1/11,Oct-68,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
423,EPSDT,Therapies,Physical Therapy,EPSDT Services-Specialized Rehabilitative Services,04.b,Physical Therapy,Appendix 1 to Attachment 3.1-A,Page 07q,436,10/1/11,Oct-68,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
424,EPSDT,Therapies,Occupational Therapy,EPSDT Services-Specialized Rehabilitative Services,04.b,Occupational Therapy,Appendix 1 to Attachment 3.1-A,Page 07r,437,10/1/11,Oct-68,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
425,EPSDT,ECI,,EPSDT Services,04.b,Enrolled ECI Agency Qualifications,Appendix 1 to Attachment 3.1-A,Page 07s,438,10/1/11,Oct-68,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
426,EPSDT,DME,Prosthetics,EPSDT Services,04.b,Prosthetics,Appendix 1 to Attachment 3.1-A,Page 07t,439,8/1/12,Dec-37,24-Dec,,,,,,,,,,,,,,,,,,,,,,,,
427,EPSDT,DME,Prosthetics,EPSDT Services,04.b,Prosthetics,Appendix 1 to Attachment 3.1-A,Page 07u,440,8/1/12,Dec-37,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
428,Family Planning,Pregnant Women,,Family Planning Services,04.c,Family Planning Services,Appendix 1 to Attachment 3.1-A ,Page 08,441,9/1/07,Jul-37,93-11,92-25,88-21,84-07,77-16,76-57,75-47,NoRecord,,,,,,,,,,,,,,,,,
429,Tobacco Cessation,Pregnant Women,,Tobacco Cessation,04.d,,Appendix 1 to Attachment 3.1-A,Page 08a,442,1/1/12,7-Dec,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
430,Physicians,,,Physicians and Dentists Services,5,"Telemedicine,Optometrists,Dentists",Appendix 1 to Attachment 3.1-A ,Page 09,443,7/1/13,13-14,13-21,,,,,,,,,,,,,,,,,,,,,,,,
431,Physicians,Anesthesiologist,,Physicians and Dentists Services,5,Anesthesiologist Assistants,Appendix 1 to Attachment 3.1-A,Page 09a,444,10/1/14,14-44,13-18,,,,,,,,,,,,,,,,,,,,,,,,
432,Physicians,Podiatrists,,Physicians and Dentists Services,06.a,Podiatrists Services,Appendix 1 to Attachment 3.1-A,Page 10,445,10/1/05,8-May,21-Mar,88-21,,,,,,,,,,,,,,,,,,,,,,,
433,Physicians,Optometry,,Optometric Services,06.b,,Appendix 1 to Attachment 3.1-A,Page 11,446,71/2013,13-14,8-May,21-Mar,95-31,90-04,86-07,84-07,77-16,,,,,,,,,,,,,,,,,,
434,Physicians,Chiropracty,,Chiropractic Services,06.b,,Appendix 1 to Attachment 3.1-A,Page 12,447,10/1/05,8-May,21-Mar,91-33,,,,,,,,,,,,,,,,,,,,,,,
435,Physicians,Blank Page,,Other Practicioners Services (OPS),06.c,Blank Page,Appendix 1 to Attachment 3.1-A,Page 13,448,6/1/12,27-Dec,9-May,21-Mar,,,,,,,,,,,,,,,,,,,,,,,
436,Physicians,Anesthesiologist,,Other Practicioners Services (OPS),06.d,Certified Registered Nurse Anesthetists Services,Appendix 1 to Attachment 3.1-A,Page 13a,449,9/1/91,91-01,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
437,Physicians,Nurse Practioner,,Other Practicioners Services (OPS),06.d,Other Categories of Advance Nurse Practicioner Services,Appendix 1 to Attachment 3.1-A,Page 13b,450,5/1/93,93-12,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
438,Physicians,Counseling,,Other Practicioners Services (OPS),06.d,Licensed Clinical Social Worker Services/ Licensed Professional Counseler,Appendix 1 to Attachment 3.1-A,Page 13c,451,12/1/05,9-May,21-Mar,00-02,,,,,,,,,,,,,,,,,,,,,,,
439,Physicians,Counseling,,Other Practicioners Services (OPS),06.d,Licensed Marriage and Family Therapist,Appendix 1 to Attachment 3.1-A,Page 13d,452,12/1/05,9-May,21-Mar,00-02,,,,,,,,,,,,,,,,,,,,,,,
440,Physicians,Counseling,,Other Practicioners Services (OPS),06.d,Psychologists Services,Appendix 1 to Attachment 3.1-A,Page 13e,453,9/1/13,13-24,7-Sep,,,,,,,,,,,,,,,,,,,,,,,,
441,Physicians,Physician Assistant,,Other Practicioners Services (OPS),06.d,Services Provided by Physician Assistants,Appendix 1 to Attachment 3.1-A,Page 13f,454,9/1/07,26-Jul,13-Jun,,,,,,,,,,,,,,,,,,,,,,,,
442,Physicians,Pregnant Women,Midwives,Other Practicioners Services (OPS),06.d,Licensed Midwife,Appendix 1 to Attachment 3.1-A,Page 13g,455,1/1/13,13-07,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
443,Home Health,,,Home Health Care Services,7,,Appendix 1 to Attachment 3.1-A,Page 14,456,7/1/12,Dec-36,6-Feb,,,,,,,,,,,,,,,,,,,,,,,,
444,Home Health,Limitations,,Home Health Care Services,7,"Service Limitations: Nursing Services, Home Health Aide, Visits by Nurse or Home Health Aide, Certain Medical Supplies, PT, and OT",Appendix 1 to Attachment 3.1-A,Page 15,457,1/1/09,1-Sep,8-Jun,97-12,,,,,,,,,,,,,,,,,,,,,,,
445,Home Health,DME,Services,Home Health Care Services,7,In-Home Services for Total Parenteral Nutrition,Appendix 1 to Attachment 3.1-A,Page 15a,458,9/1/07,18-Jul,92-15,,,,,,,,,,,,,,,,,,,,,,,,
446,Home Health,DME,Pharmacy,Home Health Care Services,7,Home Health Supplies Provided by a Pharmacy,Appendix 1 to Attachment 3.1-A,Page 15b,459,12/1/10,Oct-51,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
447,Home Health,Telemonitoring,,Home Health Care Services,7,Home Telemonitoring Services,Appendix 1 to Attachment 3.1-A,Page 15c,460,10/1/13,13-55,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
448,LTSS,PDN,,Private Duty Nursing Services,8,EPSDT Only,Appendix 1 to Attachment 3.1-A,Page 16,461,1/1/06,6-Jun,88-21,,,,,,,,,,,,,,,,,,,,,,,,
449,Clinic Services,Pregnant Women,Maternity,Maternity Clinic Services,9,,Appendix 1 to Attachment 3.1-A,Page 17,462,10/1/88,88-21,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
450,Clinic Services,Pregnant Women,Maternity,Maternity Clinic Services,9,,Appendix 1 to Attachment 3.1-A,Page 18,463,10/1/88,88-21,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
451,Clinic Services,Pregnant Women,Maternity,Maternity Clinic Services,9,,Appendix 1 to Attachment 3.1-A,Page 19,464,10/1/88,88-21,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
452,Clinic Services,Tuberculosis,,Clinic Services,9,Tuberculosis (TB) Clinic Services,Appendix 1 to Attachment 3.1-A,Page 19a,465,9/1/09,23-Sep,94-10,,,,,,,,,,,,,,,,,,,,,,,,
453,Clinic Services,ERSD,,Clinic Services,9,Renal Dialysis Facility Services (ERSD),Appendix 1 to Attachment 3.1-A,Page 19b,466,7/1/10,25-Oct,23-Sep,,,,,,,,,,,,,,,,,,,,,,,,
454,Clinic Services,ASCs,,Clinic Services,9,Ambulatory Surgical Center Services,Appendix 1 to Attachment 3.1-A,Page 19c,467,9/1/07,28-Jul,88-21,,,,,,,,,,,,,,,,,,,,,,,,
455,Not Provided,Dental,Dental,Dental Services,10,Not Provided,Appendix 1 to Attachment 3.1-A,Page 20,468,10/1/88,88-21,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
456,Physical Therapy,Therapies,Physical Therapy,Physical Therapists Services,11.a,,Appendix 1 to Attachment 3.1-A,Page 21,469,1/1/90,90-06,88-21,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
457,Not Provided,Therapies,Occupational Therapy,Occupational Therapy,11.b,Not Provided,Appendix 1 to Attachment 3.1-A,Page 22,470,10/1/88,88-21,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
458,Speech Therapy,Therapies,Speech Therapy,"Services for individuals with speech, hearing or language disorders",11.c,,Appendix 1 to Attachment 3.1-A,Page 23,471,6/1/12,27-Dec,88-21,74-63,NoRecord,SuperNone,,,,,,,,,,,,,,,,,,,,,
459,Prescribed Drugs,Rx,Pharmacy,Prescribed Drugs,12.a,,Appendix 1 to Attachment 3.1-A,Page 24,472,1/1/16,15-22,Sep-39,25-Mar,,,,,,,,,,,,,,,,,,,,,,,
460,Prescribed Drugs,Rx,Pharmacy,Prescribed Drugs,12.a,,Appendix 1 to Attachment 3.1-A,Page 24a,473,1/1/16,15-22,3-Dec,Sep-39,,,,,,,,,,,,,,,,,,,,,,,
461,Prescribed Drugs,Rx,Pharmacy,Prescribed Drugs,12.a,,Appendix 1 to Attachment 3.1-A,Page 24b,474,1/1/16,15-22,16-Apr,25-Mar,,,,,,,,,,,,,,,,,,,,,,,
462,Prescribed Drugs,Rx,Pharmacy,Prescribed Drugs,12.a,,Appendix 1 to Attachment 3.1-A,Page 24c,475,1/1/16,15-22,16-Apr,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
463,Prescribed Drugs,Rx,Pharmacy,Prescribed Drugs,12.a,Requirements Relating to Covered Outpatient Drugs for Categorically Needy,Appendix 1 to Attachment 3.1-A,Page 24d,476,1/1/06,20-May,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
464,Prescribed Drugs,Rx,Pharmacy,Prescribed Drugs,12.a,Requirements Relating to Covered Outpatient Drugs for Categorically Needy,Appendix 1 to Attachment 3.1-A,Page 24e,477,1/1/14,14-07,20-May,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
465,Not Provided,Dentures,Dental,Dentures,12.b,Not Provided,Appendix 1 to Attachment 3.1-A,Page 25,478,10/1/88,88-21,SuperNone,75-04,,,,,,,,,,,,,,,,,,,,,,,
466,Prosthetics,DME,DME,Prosthetics,12.c,"a) Definitionb) Services-Hearing Aids, External Breast Prostheses",Appendix 1 to Attachment 3.1-A,Page 26,479,10/1/12,Dec-37,27-Dec,,,21-Mar,96-17,,74-63,NoRecord,SuperNone,,,,,,,,,,,,,,,,
467,Prosthetics,DME,DME,Prosthetics,12.c,c) Providers,Appendix 1 to Attachment 3.1-A,Page 26a,480,6/1/12,27-Dec,24-Dec,,,,,,,,,,,,,,,,,,,,,,,,
468,Eyeglasses,DME,DME,Eyeglasses,12.d,,Appendix 1 to Attachment 3.1-A,Page 27,481,10/1/05,8-May,21-Mar,96-17,,,,,,,,,,,,,,,,,,,,,,,
469,Not Provided,IID,Diagnostic Services,Diagnostic Services,13.a,Not Provided,Appendix 1 to Attachment 3.1-A,Page 28,482,5/1/98,98-08,89-32,,,,,,,,,,,,,,,,,,,,,,,,
470,Not Provided,Screening Services,Screening Services,Screening Services,13.b,Not Provided,Appendix 1 to Attachment 3.1-A,Page 29,483,10/1/88,88-21,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
471,Preventive Services,Preventive Services,Preventive Services,Preventive Services,13.c,,Appendix 1 to Attachment 3.1-A,Page 30,484,7/1/13,13-14,9-Sep,,,,,,,,,,,,,,,,,,,,,,,,
472,Rehabilitative,DAHS,,Rehabilitative Services,13.d,Day Activities and Health Services,Appendix 1 to Attachment 3.1-A,Page 31,485,7/1/92,92-91,91-33,90-09,,,,,,,,,,,,,,,,,,,,,,,
473,Rehabilitative,Mental Health,Authorization,Rehabilitative Services,13.d,"A. Mental Health Rehabilitative Services1. Authorization Process",Appendix 1 to Attachment 3.1-A,Page 31a,486,12/1/05,21-May,7-Apr,96-15,95-30,91-33,89-29,SuperNone,,,,,,,,,,,,,,,,,,,
474,Rehabilitative,Mental Health,Definitions,Rehabilitative Services,13.d,A.2. Service Definitions,Appendix 1 to Attachment 3.1-A,Page 31b,487,5/24/12,6-Dec,21-May,7-Apr,96-15,95-30,91-33,89-29,SuperNone,,,,,,,,,,,,,,,,,,
475,Rehabilitative,Mental Health,Definitions,Rehabilitative Services,13.d,A.2. Service Definitions,Appendix 1 to Attachment 3.1-A,Page 31b1,488,12/1/05,21-May,7-Apr,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
476,Rehabilitative,Mental Health,Definitions,Rehabilitative Services,13.d,A.2. Service Definitions,Appendix 1 to Attachment 3.1-A,Page 31c,489,5/24/12,6-Dec,21-May,7-Apr,96-15,95-30,91-33,89-29,SuperNone,,,,,,,,,,,,,,,,,,
477,Rehabilitative,Mental Health,Providers,Rehabilitative Services,13.d,A.3. Providers and Qualifications,Appendix 1 to Attachment 3.1-A,Page 31c1,490,12/1/05,21-May,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
478,Rehabilitative,Mental Health,Exclusions,Rehabilitative Services,13.d,"A.3. Providers and QualificationsA.4. Mental Health Rehabilitative Service exclusions",Appendix 1 to Attachment 3.1-A,Page 31d,491,5/24/12,6-Dec,21-May,7-Apr,96-15,95-30,91-33,89-29,SuperNone,,,,,,,,,,,,,,,,,,
479,Rehabilitative,Mental Health,Providers,Rehabilitative Services,13.d,B. Provider Qualifications,Appendix 1 to Attachment 3.1-A,Page 31e,492,12/1/05,21-May,7-Apr,96-15,95-30,91-33,SuperNone,,,,,,,,,,,,,,,,,,,,
480,Rehabilitative,Mental Health,Providers,Rehabilitative Services,13.d,B. Provider Qualifications,Appendix 1 to Attachment 3.1-A,Page 31f,493,12/1/05,21-May,7-Apr,96-15,95-30,SuperNone,,,,,,,,,,,,,,,,,,,,,
481,Rehabilitative,Mental Health,Providers,Rehabilitative Services,13.d,B. Provider Qualifications,Appendix 1 to Attachment 3.1-A,Page 31g,494,12/1/05,21-May,7-Apr,96-15,95-30,SuperNone,,,,,,,,,,,,,,,,,,,,,
482,Rehabilitative,Mental Health,Providers,Rehabilitative Services,13.d,B. Provider Qualifications,Appendix 1 to Attachment 3.1-A,Page 31h,495,12/1/05,21-May,7-Apr,96-15,95-30,SuperNone,,,,,,,,,,,,,,,,,,,,,
483,Rehabilitative,Mental Health,Blank Page,Rehabilitative Services,13.d,Blank Page,Appendix 1 to Attachment 3.1-A ,Page 31i,496,10/1/11,Oct-68,00-18,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
484,Rehabilitative,Mental Health,Blank Page,Rehabilitative Services,13.d,Blank Page,Appendix 1 to Attachment 3.1-A ,Page 31j,497,10/1/11,Oct-68,00-18,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
485,Rehabilitative,Mental Health,Blank Page,Rehabilitative Services,13.d,Blank Page,Appendix 1 to Attachment 3.1-A ,Page 31k,498,10/1/11,Oct-68,00-18,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
486,Nursing Facility,DME,ACD,Rehabilitative Services,13.d,Speech Therapy Evaluation,Appendix 1 to Attachment 3.1-A ,Page 31l,499,4/1/06,16-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
487,Rehabilitative,Substance Abuse,SUD,Rehabilitative Services,13.d,Substance Abuse and Dependency Treatment Services,Appendix 1 to Attachment 3.1-A ,Page 31m,500,9/1/10,17-Oct,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
488,Rehabilitative,Substance Abuse,SUD,Rehabilitative Services,13.d,Substance Abuse and Dependency Treatment Services,Appendix 1 to Attachment 3.1-A ,Page 31n,501,9/1/10,17-Oct,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
489,Rehabilitative,Substance Abuse,SUD,Rehabilitative Services,13.d,Substance Abuse and Dependency Treatment Services,Appendix 1 to Attachment 3.1-A ,Page 31o,502,9/1/10,17-Oct,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
490,65+,Inpatient Hospital,IMD,65 or older in IMD,14.a,Inpatient Hospital Services,Appendix 1 to Attachment 3.1-A ,Page 32,503,11/16/94,94-30,88-21,,,,,,,,,,,,,,,,,,,,,,,,
491,65+,Inpatient Hospital,IMD,65 or older in IMD,14.a,Inpatient Hospital Services - Provider Qualifications,Appendix 1 to Attachment 3.1-A ,Page 32a,504,11/16/94,94-30,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
492,65+,SNF,IMD,65 or older in IMD,14.b,Skilled Nursing Facility Services,Appendix 1 to Attachment 3.1-A ,Page 33,505,10/1/88,88-21,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
493,65+,ICF/IID,IMD,65 or older in IMD,14.c,Intermediate Care Facility_Not Provided,Appendix 1 to Attachment 3.1-A ,Page 34,506,10/1/88,88-21,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
494,Blank Page,Blank Page,Blank Page,Blank Page,15.b,Blank Page,Appendix 1 to Attachment 3.1-A ,Page 35,507,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,,,
495,LTSS,ICF/IID,,Intermediate Care Facility Services,15.b,Intermediate Care Facility,Appendix 1 to Attachment 3.1-A ,Page 36,508,10/1/88,88-21,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
496,LTSS,ICF/IID,,Intermediate Care Facility Services,15.b,Intermediate Care Facility,Appendix 1 to Attachment 3.1-A ,Page 36a,509,4/1/89,89-15,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
497,ICF/IID,DME,ACD,Intermediate Care Facility Services,15.c,Augmentive Communication Device,Appendix 1 to Attachment 3.1-A ,Page 36b,510,6/19/09,2-Sep,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
498,Inpatient Psychiatric,Facilities,IMD,Inpatient Psychiatric Facility Services for Individuals Under 21 Years of Age,16,,Appendix 1 to Attachment 3.1-A ,Page 37,511,9/1/08,26-Aug,88-21,,,,,,,,,,,,,,,,,,,,,,,,
499,Physicians,Pregnant Women,Midwives,Nurse-Midwife Services,17,,Appendix 1 to Attachment 3.1-A ,Page 38,512,9/1/07,26-Jul,93-41,,,,,,,,,,,,,,,,,,,,,,,,
500,Physicians,Pregnant Women,Midwives,Nurse-Midwife Services,17,,Appendix 1 to Attachment 3.1-A ,Page 39,513,9/1/07,26-Jul,88-21,,,,,,,,,,,,,,,,,,,,,,,,
501,Death,Hospice,,Hospice Care,18,,Appendix 1 to Attachment 3.1-A ,Page 40,514,9/1/11,Nov-34,Oct-50,,,,,,,,,,,,,,,,,,,,,,,,
502,Case Management,Chronic Mental Illness,Categorically Needy,Case Management Services,19,Chronically Mentally Ill,Appendix 1 to Attachment 3.1-A ,Page 41,515,7/1/92,92-32,88-23,,,,,,,,,,,,,,,,,,,,,,,,
503,Case Management,IID,Adults,Case Management Services,19,Mentally Retarded or Related Conditions,Appendix 1 to Attachment 3.1-A ,Page 41a,516,7/1/92,92-32,88-23,,,,,,,,,,,,,,,,,,,,,,,,
504,Case Management,Blind Children,,Case Management Services,19,Blind and Visually Impaired Children,Appendix 1 to Attachment 3.1-A ,Page 41b,517,7/1/92,92-32,88-23,,,,,,,,,,,,,,,,,,,,,,,,
505,Case Management,Pregnant Women,,Case Management Services,19,High-Risk Pregnant Women,Appendix 1 to Attachment 3.1-A ,Page 41c,518,7/1/92,92-32,88-23,,,,,,,,,,,,,,,,,,,,,,,,
506,DELETED,DELETED,DELETED,Blank Page,19,DELETED,Appendix 1 to Attachment 3.1-A ,Page 41d,519,9/1/07,16-Jul,92-32,88-23,,,,,,,,,,,,,,,,,,,,,,,
507,Case Management,IID,Infants/Toddlers,Case Management Services,20.a,Infants and Toddlers with Development Disabilities,Appendix 1 to Attachment 3.1-A ,Page 41e,520,7/1/92,92-33,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
508,Extended Services,Pregnant Women,Postpartum,Extended Services to Pregnant Women,20.b,Postpartum for 60 days after Pregnancy,Appendix 1 to Attachment 3.1-A ,Page 42,521,10/1/88,88-21,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
509,Extended Services,Pregnant Women,Complications,Extended Services to Pregnant Women,21,Services for any other Medical Conditions that may complicate pregnancy,Appendix 1 to Attachment 3.1-A ,Page 43,522,10/1/88,88-21,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
510,Eligibility,Pregnant Women,Presumptive Eligibility,Ambulatory Prenatal Care for Pregnant Women Furnished during a Presumptive Eligibility Period by a Provider (In accordance with Section 1920 of the Act),22,,Appendix 1 to Attachment 3.1-A ,Page 44,523,10/1/89,89-27,NOT IN 3.1B,,,,,,,,,,,,,,,,,,,,,,,,
511,Respiratory,Ventilator,,Respiratory Care Services,23,,Appendix 1 to Attachment 3.1-A ,Page 45,524,9/1/07,19-Jul,90-03,,,,,,,,,,,,,,,,,,,,,,,,
512,Physicians,APN,,Services by Certified Family and Pediatric Practicioners,24,,Appendix 1 to Attachment 3.1-A ,Page 45b,525,9/1/07,26-Jul,90-31,,,,,,,,,,,,,,,,,,,,,,,,
513,Transportation,Ambulance,,Transportation,24.a,Service,Appendix 1 to Attachment 3.1-A ,Page 46,526,10/1/07,13-Jul,98-01,88-21,75-18,74-63,NoRecord,,,,,,,,,,,,,,,,,,,,
514,Transportation,Ambulance,,Transportation,24.a,Coverage and Limitations,Appendix 1 to Attachment 3.1-A ,Page 47,527,10/1/07,13-Jul,11-Jun,,,,,,,,,,,,,,,,,,,,,,,,
515,Transportation,Ambulance,,Transportation,24.b,Service Limitations,Appendix 1 to Attachment 3.1-A ,Page 47a,528,10/1/07,13-Jul,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
516,Nursing Facility,Religious,,Services provided in Religious Nonmedical Health Care Institutions,24.b,,Appendix 1 to Attachment 3.1-A ,Page 48,529,1/1/03,6-Mar,88-21,,,,,,,,,,,,,,,,,,,,,,,,
517,Blank Page,Blank Page,Blank Page,Reserved,24.c,Blank Page,Appendix 1 to Attachment 3.1-A ,Page 49,530,1/1/03,6-Mar,88-21,,,,,,,,,,,,,,,,,,,,,,,,
518,Nursing Facility,EPSDT,,Nursing Facility Services for Individuals Under 21 Years of Age,24.d,,Appendix 1 to Attachment 3.1-A ,Page 50,531,12/6/15,15-16,91-15,88-21,,,,,,,,,,,,,,,,,,,,,,,
519,,Emergency,Hospital Services,Emergency Hosptial Services,24.e,,Appendix 1 to Attachment 3.1-A ,Page 51,532,9/1/88,88-21,74-63,NoRecord,SuperNone,,,,,,,,,,,,,,,,,,,,,,
520,Birthing Center,Pregnant Women,,Birthing Center Facility Services,25,,Appendix 1 to Attachment 3.1-A ,Page 52,533,1/1/13,13-07,Oct-49,,,,,,,,,,,,,,,,,,,,,,,,
521,Birthing Center,Pregnant Women,,Birthing Center Facility Services,25,,Appendix 1 to Attachment 3.1-A ,Page 52a,534,1/1/13,13-07,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
522,Blank Page,Blank Page,Blank Page,Blank Page,,Blank Page,Appendix 1 to Attachment 3.1-A ,Page 53,535,9/1/09,27-Sep,9-Mar,,,,,,,,,,,,,,,,,,,,,,,,
523,LTSS,PCS,Services,Personal Care Services,26,,Appendix 1 to Attachment 3.1-A ,Page 54,536,11/3/08,Aug-36,1-Feb,,,,,,,,,,,,,,,,,,,,,,,,
524,LTSS,PCS,Services,Personal Care Services,26,,Appendix 1 to Attachment 3.1-A ,Page 54a,537,11/3/08,Aug-36,17-Mar,,,,,,,,,,,,,,,,,,,,,,,,
525,Transportation,NEMT,,Non-Emergency Transportation,28,,Appendix 1 to Attachment 3.1-A,Page 55,538,6/1/15,15-08,14-20,22-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,
526,Transportation,NEMT,,Non-Emergency Transportation,28,,Appendix 1 to Attachment 3.1-A,Page 56,539,9/1/14,14-20,22-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
527,Transportation,NEMT,,Non-Emergency Transportation,28,,Appendix 1 to Attachment 3.1-A,Page 57,540,9/1/14,14-20,10-Dec,5-Dec,Oct-57,22-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,
528,Transportation,NEMT,,Non-Emergency Transportation,28,,Appendix 1 to Attachment 3.1-A,Page 58,541,9/1/14,14-20,22-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
529,Transportation,NEMT,,Non-Emergency Transportation,28,,Appendix 1 to Attachment 3.1-A,Page 59,542,9/1/14,14-20,22-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,,
530,Transportation,NEMT,,Non-Emergency Transportation,28,,Appendix 1 to Attachment 3.1-A,Page 60,543,9/1/14,14-20,10-Dec,22-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,
531,Transportation,NEMT,,Non-Emergency Transportation,28,,Appendix 1 to Attachment 3.1-A,Page 61,544,9/1/14,14-20,10-Dec,22-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,
532,,Transportation,NEMT,Blank Page,28,Blank Page,Appendix 1 to Attachment 3.1-A,Page 62,545,9/1/14,14-20,10-Dec,22-Jun,SuperNone,,,,,,,,,,,,,,,,,,,,,,
533,,Excluded Services,Exclusions,Amount Duration and Scope of Services to Categorically Needy,,,Appendix 2 to Attachment 3.1-A ,Page 01,546,12/6/15,15-16,9-Sep,93-92,,,,,,,,,,,,,,,,,,,,,,,
534,,Excluded Services,Exclusions,Amount Duration and Scope of Services to Categorically Needy,,,Appendix 2 to Attachment 3.1-A ,Page 02,547,1/1/10,9-Sep,94-10,,,,,,,,,,,,,,,,,,,,,,,,
535,,Excluded Services,Exclusions,Amount Duration and Scope of Services to Categorically Needy,,,Appendix 2 to Attachment 3.1-A ,Page 03,548,1/1/10,9-Sep,94-01,,,,,,,,,,,,,,,,,,,,,,,,
536,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,,,Appendix 3 to Attachment 3.1-A ,Page 01,549,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
537,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,,"Amount, Duration, and Scope",Appendix 3 to Attachment 3.1-A ,Page 02,550,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
538,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,"i.ii. ","EligibilityService Package",Appendix 3 to Attachment 3.1-A ,Page 03,551,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
539,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,"iii.iv.v.","Payment MethodologyUse of CashVoluntary Disenrollment",Appendix 3 to Attachment 3.1-A ,Page 04,552,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
540,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,v.,Voluntary Disenrollment,Appendix 3 to Attachment 3.1-A ,Page 05,553,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
541,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,v.,Voluntary Disenrollment,Appendix 3 to Attachment 3.1-A ,Page 06,554,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
542,,1915(j),PAS-CDS,1915(j) Self-Directed Personal Assistance Services,"v.vi.","Voluntary DisenrollmentInvoluntary Disenrollment",Appendix 3 to Attachment 3.1-A ,Page 07,555,11/3/08,Aug-36,SuperNone,,,,,,,,,,,,,,,,,,,,,,,,
